iter	MAE
0	0.3636953817
1	0.3619626808
2	0.3603209572
3	0.3587079775
4	0.3571599477
5	0.3556500482
6	0.3541888261
7	0.3528070368
8	0.351431571
9	0.3501476129
10	0.3488837435
11	0.3476672379
12	0.3464886412
13	0.3453756159
14	0.3442504348
15	0.3431579622
16	0.3421429519
17	0.3411332877
18	0.34014662
19	0.3391919413
20	0.3382553014
21	0.3373483896
22	0.3364899685
23	0.3356516587
24	0.3348300525
25	0.3340389956
26	0.3332728747
27	0.3325293911
28	0.3318101282
29	0.3311035523
30	0.3304325026
31	0.3297993076
32	0.3291637099
33	0.3285426338
34	0.3279436996
35	0.3273667765
36	0.3268066521
37	0.3262576327
38	0.3257217198
39	0.3252206477
40	0.3247054398
41	0.3242297885
42	0.3237538275
43	0.3232878058
44	0.3228345594
45	0.3224168624
46	0.3220166843
47	0.3216171847
48	0.3212180711
49	0.320833136
50	0.3204670697
51	0.3201030639
52	0.3197440429
53	0.3194053277
54	0.3190665829
55	0.3187216118
56	0.3184100697
57	0.3180924644
58	0.3177795141
59	0.3174720962
60	0.3171719373
61	0.3168932816
62	0.3166085607
63	0.3163350217
64	0.3160991007
65	0.3158348214
66	0.3155926964
67	0.3153352386
68	0.3151047658
69	0.3148789866
70	0.3146395563
71	0.3144203087
72	0.3142089264
73	0.314016197
74	0.313581581
75	0.3133839645
76	0.3129851359
77	0.3128029484
78	0.3125970173
79	0.3123792729
80	0.3121953378
81	0.3119833335
82	0.3118187568
83	0.3116198127
84	0.3114529113
85	0.3112779825
86	0.3111236472
87	0.3109655169
88	0.3107894871
89	0.3106281978
90	0.3104768664
91	0.3103345162
92	0.3101983021
93	0.3100470175
94	0.3099108769
95	0.3097575435
96	0.3096254493
97	0.3094998526
98	0.3093812499
99	0.3092466767
100	0.3088797016
101	0.3087572845
102	0.3086357186
103	0.3085248597
104	0.3084174232
105	0.3082981508
106	0.3081887281
107	0.3080746948
108	0.3079729553
109	0.307869739
110	0.3077506146
111	0.3076488738
112	0.3075339776
113	0.3074260222
114	0.3073355778
115	0.3069975928
116	0.3068982805
117	0.3067993629
118	0.3066847271
119	0.3063588254
120	0.3062550152
121	0.3061562758
122	0.3060744126
123	0.3059493925
124	0.3058672182
125	0.3057702022
126	0.3056759103
127	0.3055746031
128	0.3055023155
129	0.3054141276
130	0.3053399154
131	0.3050627011
132	0.304973987
133	0.3048919084
134	0.3048093505
135	0.3047286962
136	0.3044562745
137	0.3043874813
138	0.3043042333
139	0.3042339791
140	0.3041685693
141	0.3040941043
142	0.3040212847
143	0.303943374
144	0.3038767057
145	0.3038162842
146	0.3037421831
147	0.3035810624
