iter	Passed	Remaining
0	94	85317
1	124	55887
2	154	46252
3	184	41298
4	213	38278
5	243	36319
6	273	34858
7	302	33761
8	332	32880
9	362	32305
10	392	31722
11	423	31317
12	452	30879
13	482	30515
14	511	30184
15	541	29895
16	570	29635
17	599	29377
18	628	29146
19	657	28935
20	686	28746
21	715	28551
22	743	28357
23	773	28243
24	803	28117
25	831	27959
26	860	27830
27	890	27732
28	919	27603
29	948	27494
30	977	27391
31	1006	27305
32	1036	27223
33	1065	27128
34	1094	27042
35	1126	27027
36	1156	26979
37	1187	26934
38	1216	26861
39	1245	26788
40	1275	26720
41	1304	26652
42	1334	26590
43	1364	26554
44	1394	26498
45	1426	26477
46	1456	26429
47	1487	26411
48	1518	26370
49	1549	26339
50	1578	26284
51	1609	26242
52	1640	26219
53	1672	26197
54	1706	26218
55	1739	26210
56	1772	26208
57	1802	26164
58	1833	26128
59	1862	26073
60	1892	26030
61	1923	25998
62	1954	25971
63	1986	25944
64	2016	25901
65	2046	25865
66	2077	25824
67	2107	25780
68	2135	25719
69	2164	25670
70	2195	25632
71	2225	25592
72	2256	25559
73	2285	25515
74	2315	25469
75	2348	25462
76	2379	25434
77	2409	25396
78	2439	25352
79	2469	25311
80	2499	25272
81	2528	25226
82	2558	25188
83	2588	25144
84	2618	25107
85	2648	25065
86	2678	25026
87	2707	24983
88	2736	24940
89	2766	24900
90	2796	24861
91	2825	24818
92	2855	24779
93	2884	24734
94	2913	24684
95	2941	24637
96	2971	24597
97	3000	24554
98	3029	24515
99	3059	24472
100	3087	24426
101	3115	24377
102	3145	24340
103	3174	24298
104	3203	24252
105	3232	24214
106	3261	24172
107	3291	24137
108	3320	24097
109	3351	24072
110	3381	24035
111	3412	24007
112	3441	23966
113	3469	23923
114	3498	23881
115	3526	23834
116	3556	23798
117	3585	23760
118	3614	23720
119	3642	23678
120	3671	23636
121	3699	23593
122	3727	23548
123	3756	23507
124	3784	23465
125	3814	23429
126	3843	23396
127	3874	23365
128	3904	23334
129	3935	23307
130	3965	23277
131	3994	23242
132	4023	23205
133	4053	23171
134	4083	23137
135	4112	23100
136	4141	23066
137	4170	23028
138	4200	22996
139	4230	22967
140	4260	22931
141	4289	22899
142	4321	22874
143	4352	22849
144	4383	22822
145	4414	22797
146	4443	22762
147	4473	22729
148	4503	22698
149	4534	22671
150	4562	22633
151	4592	22599
152	4621	22564
153	4650	22526
154	4680	22496
155	4710	22465
156	4740	22435
157	4770	22401
158	4800	22370
159	4830	22340
160	4861	22313
161	4890	22279
162	4919	22243
163	4949	22212
164	4978	22176
165	5007	22140
166	5036	22106
167	5065	22071
168	5094	22037
169	5124	22003
170	5153	21970
171	5182	21936
172	5213	21908
173	5242	21874
174	5272	21843
175	5302	21811
176	5334	21791
177	5365	21762
178	5395	21732
179	5426	21706
180	5456	21673
181	5485	21638
182	5513	21602
183	5543	21572
184	5574	21543
185	5602	21508
186	5633	21480
187	5664	21451
188	5693	21419
189	5723	21386
190	5752	21352
191	5781	21320
192	5811	21287
193	5838	21249
194	5868	21215
195	5897	21182
196	5926	21148
197	5955	21114
198	5983	21078
199	6013	21047
200	6042	21014
201	6072	20984
202	6101	20950
203	6130	20916
204	6159	20883
205	6189	20852
206	6218	20818
207	6248	20786
208	6276	20751
209	6305	20719
210	6335	20689
211	6366	20659
212	6396	20630
213	6426	20601
214	6456	20571
215	6485	20538
216	6514	20503
217	6543	20471
218	6572	20437
219	6600	20402
220	6627	20363
221	6655	20327
222	6683	20290
223	6712	20257
224	6739	20219
225	6768	20184
226	6796	20149
227	6824	20113
228	6851	20077
229	6881	20046
230	6911	20015
231	6940	19983
232	6969	19951
233	6998	19918
234	7026	19883
235	7054	19847
236	7082	19814
237	7110	19779
238	7139	19746
239	7167	19711
240	7196	19678
241	7223	19641
242	7252	19607
243	7280	19574
244	7309	19541
245	7340	19515
246	7369	19482
247	7401	19458
248	7430	19427
249	7459	19394
250	7489	19364
251	7516	19328
252	7545	19295
253	7572	19259
254	7601	19227
255	7628	19190
256	7655	19154
257	7685	19123
258	7714	19091
259	7742	19058
260	7771	19025
261	7799	18993
262	7828	18960
263	7855	18924
264	7884	18892
265	7912	18859
266	7941	18827
267	7969	18793
268	7998	18762
269	8027	18730
270	8054	18694
271	8082	18662
272	8111	18628
273	8139	18595
274	8167	18562
275	8194	18526
276	8223	18494
277	8251	18462
278	8280	18430
279	8307	18395
280	8337	18366
281	8365	18333
282	8393	18299
283	8421	18265
284	8451	18236
285	8485	18216
286	8515	18188
287	8547	18162
288	8577	18134
289	8607	18104
290	8636	18074
291	8667	18046
292	8697	18018
293	8727	17989
294	8759	17964
295	8791	17938
296	8820	17908
297	8852	17882
298	8882	17853
299	8913	17827
300	8944	17798
301	8974	17770
302	9003	17738
303	9031	17707
304	9060	17675
305	9089	17643
306	9117	17610
307	9144	17576
308	9173	17545
309	9201	17512
310	9230	17480
311	9258	17449
312	9287	17418
313	9315	17385
314	9345	17355
315	9374	17324
316	9403	17294
317	9434	17266
318	9476	17260
319	9508	17234
320	9538	17204
321	9567	17174
322	9596	17143
323	9625	17111
324	9654	17080
325	9683	17049
326	9711	17018
327	9741	16987
328	9770	16957
329	9799	16926
330	9827	16893
331	9855	16861
332	9884	16831
333	9914	16801
334	9942	16768
335	9971	16737
336	9999	16706
337	10028	16674
338	10059	16646
339	10094	16626
340	10126	16599
341	10156	16571
342	10186	16542
343	10217	16514
344	10248	16486
345	10285	16468
346	10318	16444
347	10349	16416
348	10378	16386
349	10409	16358
350	10438	16327
351	10468	16297
352	10497	16266
353	10525	16234
354	10555	16205
355	10582	16171
356	10613	16143
357	10642	16111
358	10673	16083
359	10701	16052
360	10729	16020
361	10758	15989
362	10787	15957
363	10815	15926
364	10843	15894
365	10873	15864
366	10902	15833
367	10930	15801
368	10960	15771
369	10988	15739
370	11016	15708
371	11045	15677
372	11073	15646
373	11102	15615
374	11132	15584
375	11161	15555
376	11190	15523
377	11218	15492
378	11248	15462
379	11275	15429
380	11303	15398
381	11333	15368
382	11362	15337
383	11392	15308
384	11422	15278
385	11451	15248
386	11480	15218
387	11511	15191
388	11541	15161
389	11569	15129
390	11598	15098
391	11626	15066
392	11655	15036
393	11685	15007
394	11714	14976
395	11741	14944
396	11772	14915
397	11801	14885
398	11829	14853
399	11858	14822
400	11886	14791
401	11914	14759
402	11943	14729
403	11972	14698
404	12001	14668
405	12030	14638
406	12059	14607
407	12088	14576
408	12116	14546
409	12146	14516
410	12175	14486
411	12204	14455
412	12233	14425
413	12262	14394
414	12290	14363
415	12322	14336
416	12351	14306
417	12382	14278
418	12411	14248
419	12441	14218
420	12489	14210
421	12525	14187
422	12556	14159
423	12586	14130
424	12618	14102
425	12650	14075
426	12679	14045
427	12709	14015
428	12738	13985
429	12768	13956
430	12798	13926
431	12827	13896
432	12856	13866
433	12887	13838
434	12963	13857
435	12992	13827
436	13022	13796
437	13050	13766
438	13079	13734
439	13108	13704
440	13138	13674
441	13168	13645
442	13200	13617
443	13229	13587
444	13258	13556
445	13290	13529
446	13323	13502
447	13353	13472
448	13383	13443
449	13413	13413
450	13441	13381
451	13470	13351
452	13500	13321
453	13530	13292
454	13559	13261
455	13589	13232
456	13618	13201
457	13647	13170
458	13676	13140
459	13704	13108
460	13733	13077
461	13762	13047
462	13790	13016
463	13819	12985
464	13848	12954
465	13878	12925
466	13907	12894
467	13936	12864
468	13965	12833
469	13994	12803
470	14024	12774
471	14053	12743
472	14081	12712
473	14111	12682
474	14141	12652
475	14180	12631
476	14244	12632
477	14274	12602
478	14303	12571
479	14333	12541
480	14365	12513
481	14397	12485
482	14427	12455
483	14456	12424
484	14486	12395
485	14519	12368
486	14548	12338
487	14577	12307
